distance,R,G,B,W,C
15,6,5,5,13,G
15,5,4,5,11,G
15,5,3,4,10,G
15,3,3,5,10,G
15,5,5,4,10,G
15,4,4,4,12,G
15,4,5,4,10,G
15,4,5,5,10,G
15,5,5,4,13,G
15,6,5,4,12,G
15,4,3,4,10,G
15,5,3,5,10,G
15,6,5,4,10,G
15,3,3,5,11,G
15,6,3,5,11,G
15,5,5,5,11,G
15,4,4,4,11,G
15,3,4,5,10,G
15,3,3,5,12,G
15,3,3,5,13,G
15,6,5,4,13,G
15,5,3,4,12,G
15,6,5,4,9,G
15,5,4,5,9,G
15,6,3,4,12,G
15,4,3,5,9,G
15,3,3,4,12,G
15,6,5,5,9,G
15,3,5,4,11,G
15,4,3,5,10,G
15,6,3,5,11,G
15,6,3,4,12,G
15,3,3,4,9,G
15,3,3,4,11,G
15,4,3,5,10,G
15,3,5,4,9,G
15,5,4,5,11,G
15,4,3,5,13,G
15,5,5,4,10,G
15,3,4,5,11,G
15,3,4,5,13,G
15,3,4,5,13,G
15,4,3,5,10,G
15,6,3,5,11,G
15,6,4,5,11,G
15,5,3,4,13,G
15,5,5,4,10,G
15,6,3,5,11,G
15,4,4,4,10,G
15,6,4,5,13,G
15,6,5,5,10,G
15,6,4,4,10,G
15,3,3,4,11,G
15,6,4,5,13,G
15,6,5,5,13,G
15,6,5,4,9,G
15,5,3,5,11,G
15,3,4,5,9,G
15,6,4,5,11,G
15,4,5,4,11,G
15,6,3,4,13,G
15,3,4,5,12,G
15,5,4,4,11,G
15,5,4,4,13,G
15,4,3,5,11,G
15,3,3,5,11,G
15,3,4,5,9,G
15,5,3,5,11,G
15,5,4,5,10,G
15,4,4,5,9,G
15,3,3,4,12,G
15,6,4,4,12,G
15,4,4,5,11,G
15,4,3,5,12,G
15,6,4,4,9,G
15,6,3,4,9,G
15,3,3,5,9,G
15,5,4,5,13,G
15,4,3,4,10,G
15,3,3,5,12,G
15,6,5,5,9,G
15,6,3,4,13,G
15,5,4,5,11,G
15,6,4,5,10,G
15,3,4,5,11,G
15,5,5,5,9,G
15,4,4,4,13,G
15,6,4,5,10,G
15,4,4,4,12,G
15,3,3,5,13,G
15,4,3,4,11,G
15,6,4,5,10,G
15,5,4,4,12,G
15,3,3,4,9,G
15,6,4,5,9,G
15,5,5,5,9,G
15,4,3,4,9,G
15,4,3,4,10,G
15,5,5,5,9,G
15,3,4,4,13,G
15,3,3,4,10,G
15,5,3,4,10,G
15,6,4,4,12,G
15,4,3,5,10,G
15,4,4,4,12,G
15,5,3,5,9,G
15,4,4,5,13,G
15,4,4,5,13,G
15,6,4,4,9,G
15,4,5,5,13,G
15,3,3,4,11,G
15,3,3,5,13,G
15,3,3,4,9,G
15,5,5,5,12,G
15,4,4,4,9,G
15,6,3,4,9,G
15,4,4,4,12,G
15,3,3,4,13,G
15,4,5,5,10,G
15,4,3,5,13,G
15,4,5,4,12,G
15,6,4,4,10,G
15,4,5,5,9,G
15,4,3,4,11,G
15,3,4,4,11,G
15,5,4,4,9,G
15,4,5,4,12,G
15,4,3,4,12,G
15,3,5,4,12,G
15,4,3,4,9,G
15,4,5,4,10,G
15,3,4,4,10,G
15,4,4,4,10,G
15,5,4,4,13,G
15,5,5,5,12,G
15,6,5,4,13,G
15,3,5,4,12,G
15,3,4,5,10,G
15,3,4,5,12,G
15,6,4,4,13,G
15,5,5,4,10,G
15,4,3,4,13,G
15,3,4,5,11,G
15,3,5,4,9,G
15,4,5,4,9,G
15,6,3,5,12,G
15,4,3,5,13,G
15,6,3,5,12,G
15,5,3,4,10,G
15,3,5,5,11,G
15,4,4,5,12,G
15,3,3,4,13,G
15,4,4,5,11,G
15,6,4,4,13,G
15,3,4,4,13,G
15,3,3,4,9,G
15,3,3,4,12,G
15,3,5,5,12,G
15,4,3,5,13,G
15,3,5,5,12,G
15,4,4,4,10,G
15,6,5,5,9,G
15,4,5,4,10,G
15,3,3,5,12,G
15,5,3,5,11,G
15,3,5,5,9,G
15,3,4,4,12,G
15,6,3,4,10,G
15,6,4,5,10,G
15,6,4,5,9,G
15,4,5,4,9,G
15,3,3,5,12,G
15,4,5,4,11,G
15,6,3,4,9,G
15,4,4,5,13,G
15,4,3,5,12,G
15,3,3,5,11,G
15,6,4,5,13,G
15,5,4,5,12,G
15,4,5,4,11,G
15,6,3,5,11,G
15,3,3,5,9,G
15,4,3,4,10,G
15,4,5,4,12,G
15,6,4,5,11,G
15,4,4,5,13,G
15,3,5,4,11,G
15,4,3,5,12,G
15,4,4,5,11,G
15,6,4,4,11,G
15,4,4,4,12,G
15,5,5,4,12,G
15,5,3,4,13,G
15,4,4,4,10,G
15,5,5,4,9,G
15,3,4,4,12,G
15,3,4,4,10,G
15,6,4,4,10,G
15,5,3,5,11,G
15,3,5,5,9,G
15,5,3,5,11,G
15,6,3,4,13,G
15,6,3,4,9,G
15,4,3,4,11,G
15,3,3,5,10,G
15,4,3,4,12,G
15,3,3,5,13,G
15,5,4,4,12,G
15,4,5,5,13,G
15,6,5,4,12,G
15,6,4,5,12,G
15,3,4,4,11,G
15,5,5,5,10,G
15,3,3,5,12,G
15,6,3,5,13,G
15,3,3,5,13,G
15,4,5,4,9,G
15,5,4,4,10,G
15,3,3,5,10,G
15,6,3,4,10,G
15,3,4,5,13,G
15,5,3,4,13,G
15,3,4,5,13,G
15,3,5,5,12,G
15,3,4,4,10,G
15,6,4,4,13,G
15,5,4,5,12,G
15,3,3,5,11,G
15,5,3,5,10,G
15,4,5,4,11,G
15,3,3,4,9,G
15,5,3,5,9,G
15,5,5,4,11,G
15,3,5,5,13,G
15,5,5,5,12,G
15,5,4,4,13,G
15,5,5,5,11,G
15,4,5,4,13,G
15,4,5,5,13,G
15,6,4,5,13,G
15,4,3,4,12,G
15,3,4,5,13,G
15,3,4,4,10,G
15,5,5,5,11,G
15,3,4,4,11,G
15,5,4,4,10,G
15,6,3,4,13,G
15,6,3,4,9,G
15,6,4,5,9,G
15,6,3,4,13,G
15,6,3,5,13,G
15,4,5,4,9,G
15,3,5,4,11,G
15,3,3,5,12,G
15,6,4,5,9,G
15,5,5,4,11,G
15,4,4,4,11,G
15,6,5,4,11,G
15,4,4,5,12,G
15,4,5,4,11,G
15,4,5,5,13,G
15,6,5,5,11,G
15,3,4,5,9,G
15,6,3,4,9,G
15,3,4,4,9,G
15,5,3,4,12,G
15,6,3,4,11,G
15,3,5,4,11,G
15,4,4,5,12,G
15,3,4,4,10,G
15,6,3,5,12,G
15,6,4,4,10,G
15,6,5,5,13,G
15,3,3,5,13,G
15,4,4,5,11,G
15,4,3,4,11,G
15,3,4,5,11,G
15,6,3,5,9,G
15,4,4,5,13,G
15,3,4,4,11,G
15,3,3,5,10,G
15,4,4,4,10,G
15,6,4,5,12,G
15,4,3,4,11,G
15,6,4,4,9,G
15,3,5,5,13,G
15,5,4,5,10,G
15,5,5,5,12,G
15,5,4,5,9,G
15,6,5,4,11,G
15,3,5,4,11,G
15,4,3,4,13,G
15,5,4,5,13,G
15,5,4,4,13,G
15,3,5,5,12,G
15,3,4,5,11,G
15,4,5,5,13,G
15,4,3,4,11,G
15,6,4,4,13,G
15,4,3,5,11,G
15,3,4,4,11,G
15,6,3,4,9,G
15,5,5,5,13,G
15,3,4,5,13,G
15,4,3,4,10,G
15,4,5,5,13,G
15,4,3,5,10,G
15,3,3,5,10,G
15,3,5,5,9,G
15,4,5,4,9,G
15,6,3,4,13,G
15,3,5,4,13,G
15,6,3,5,9,G
15,4,5,4,13,G
15,3,5,5,9,G
15,3,4,4,10,G
15,4,4,5,9,G
15,6,3,5,12,G
15,3,4,4,11,G
15,6,4,4,10,G
15,4,4,5,12,G
15,5,4,4,9,G
15,4,5,4,10,G
15,3,5,4,9,G
15,6,5,5,13,G
15,6,5,4,9,G
15,4,4,5,11,G
15,6,4,4,11,G
15,4,5,5,12,G
15,6,3,5,10,G
15,5,5,4,12,G
15,6,4,4,13,G
15,4,4,4,10,G
15,3,5,5,12,G
15,4,5,4,10,G
15,3,5,4,13,G
15,4,3,4,12,G
15,3,4,4,11,G
15,3,3,4,9,G
15,3,5,5,13,G
15,6,5,5,12,G
15,3,5,5,10,G
15,6,4,4,11,G
15,6,3,4,10,G
15,4,4,5,12,G
15,3,3,5,13,G
15,4,4,5,13,G
15,3,4,4,12,G
15,5,3,5,12,G
15,6,3,4,12,G
15,5,4,5,10,G
15,4,3,4,9,G
15,6,3,5,10,G
15,4,5,4,9,G
15,4,3,4,11,G
15,4,3,5,12,G
15,6,4,4,10,G
15,3,3,4,11,G
15,4,5,5,12,G
15,5,4,5,10,G
15,5,5,5,11,G
15,3,5,4,9,G
15,3,5,4,9,G
15,5,4,5,12,G
15,6,5,5,9,G
15,5,5,5,12,G
15,4,3,4,11,G
15,5,4,5,12,G
15,4,3,4,11,G
15,6,5,4,9,G
15,6,5,5,10,G
15,3,4,4,12,G
15,4,5,4,13,G
15,5,4,4,13,G
15,4,3,4,9,G
15,5,3,5,11,G
15,4,3,4,11,G
15,5,4,4,9,G
15,5,3,4,10,G
15,5,3,4,9,G
15,4,3,5,13,G
15,6,3,4,12,G
15,5,5,5,11,G
15,5,3,4,10,G
15,5,4,5,9,G
15,3,3,5,9,G
15,6,5,4,10,G
15,3,4,4,13,G
15,4,4,4,9,G
15,5,5,5,10,G
15,6,4,4,12,G
15,3,3,4,11,G
15,3,4,4,11,G
15,3,4,5,13,G
15,4,3,5,12,G
15,4,3,5,13,G
15,5,4,4,9,G
15,4,5,5,9,G
15,4,3,5,12,G
15,3,4,4,10,G
15,6,4,4,10,G
15,4,5,4,12,G
15,4,4,4,13,G
15,6,3,5,10,G
15,6,4,4,11,G
15,5,3,4,9,G
15,3,3,4,9,G
15,3,4,5,10,G
15,5,4,5,12,G
15,4,3,4,13,G
15,5,3,4,13,G
15,4,5,5,11,G
15,5,5,5,12,G
15,3,4,4,9,G
15,5,3,4,12,G
15,4,3,5,11,G
15,6,3,4,9,G
15,6,3,5,12,G
15,3,5,5,9,G
15,5,4,5,10,G
15,5,5,5,9,G
15,3,4,4,10,G
15,5,3,5,10,G
15,6,5,5,12,G
15,3,4,5,13,G
15,3,3,5,11,G
15,5,4,5,13,G
15,4,4,4,11,G
15,3,3,5,12,G
15,5,3,4,11,G
15,3,5,4,13,G
15,5,5,5,13,G
15,4,4,4,11,G
15,5,4,4,9,G
15,6,4,4,10,G
15,4,5,5,9,G
15,3,4,5,13,G
15,5,4,4,9,G
15,4,5,4,9,G
15,3,4,5,13,G
15,6,5,5,13,G
15,3,5,5,12,G
15,3,4,4,10,G
15,5,4,5,13,G
15,6,3,5,13,G
15,5,3,5,11,G
15,4,3,4,11,G
15,4,3,5,13,G
15,6,4,5,11,G
15,3,4,4,13,G
15,6,4,5,12,G
15,6,4,5,10,G
15,3,4,5,10,G
15,5,4,4,10,G
15,3,3,5,12,G
15,5,3,5,10,G
15,5,3,5,11,G
15,5,4,5,10,G
15,4,5,5,9,G
15,4,3,4,9,G
15,4,4,5,13,G
15,6,4,5,12,G
15,5,5,5,12,G
